IAGA Code,Observatory Name,Latitude,Longitude,Altitude (metres),Country Code,Year Valid From,Year Valid To
SIT,SITKA,57.067,224.683,22,USA
SJG,SAN JUAN (PUERTO RICO),18.117,293.850,400,USA
SOD,SODANKYLA,67.367,26.633,178,FIN
SPT,SAN PABLO DE LOS MONTES,39.550,355.650,922,ESP
SSH,ZO-SE (SHESHAN),31.100,121.183,100,CHN
STJ,ST. JOHNS,47.600,307.317,100,CAN
SUA,SURLARI,44.683,26.250,84,ROM
SYO,SYOWA STATION,-69.000,39.583,0,JPN
TAM,TAMANRASSET,22.800,5.533,1377,DZA
TAN,ANTANANARIVO (TANANARIVE),-18.917,47.550,1375,MDG
TEN,SANTA CRUZ DE TENERIFE (LAS MESAS),28.483,343.733,310,ESP
TEO,TEOLOYUCAN,19.750,260.817,2280,MEX
TFS,DUSHETI (TBILISI),42.083,44.700,980,GEO
THJ,TONGHAI,24.000,102.700,1820,CHN
THL,QAANAAQ (THULE),77.467,290.767,57,DNK
THY,TIHANY,46.900,17.900,187,HUN
TIK,TIKSI,71.583,129.000,40,RUS
TKT,YANGI-BAZAR,41.333,69.617,810,RUS
TNB,TERRA NOVA BAY,-74.683,164.117,28,ITA
TND,TONDANO,999.000,999.000,-999,IDN
TNG,TANGERANG,-6.167,106.633,14,IDN
TRD,TRIVANDRUM,8.483,76.967,300,IND
TRO,TROMSO,69.667,18.933,105,NOR
TRW,TRELEW,-43.267,294.617,30,ARG
TSU,TSUMEB,-19.200,17.583,83,ZAF
TTB,TATUOCA,-1.200,311.483,10,BRA
TUC,TUCSON,32.167,249.267,946,USA
TUN,TUNTUNGAN,3.517,98.567,0,IDN
UJJ,UJJAIN,23.183,75.783,-999,IND
UPS,UPPSALA,59.800,17.600,14,SWE
VAL,VALENTIA,51.933,349.750,14,IRL
VIC,VICTORIA,48.517,236.583,197,CAN
VLA,GORNOTAYOZHNAYA (VLADIVOSTOK),43.683,132.167,300,RUS
VNA,NEUMAYER,-70.650,351.750,200,DEU
VOS,VOSTOK,-78.450,106.867,3500,RUS
VSK,VISAKHAPATNAM,17.667,83.317,-999,IND
VSS,VASSOURAS,-22.400,316.350,457,BRA
WHN,WUHAN,30.533,114.567,42,CHN
WIK,WIEN KOBENZL,48.267,16.317,400,AUT
WMQ,URUMQI (WULUMUCHI),43.817,87.700,970,CHN
WNG,WINGST,53.750,9.067,50,DEU
YAK,YAKUTSK,62.017,129.717,100,RUS
YKC,YELLOWKNIFE,62.483,245.517,198,CAN
YSS,YUZHNO-SAKHALINSK,46.950,142.717,70,RUS
