IAGA Code,Observatory Name,Lat (deg),Lat (mins),Latitude,Colatitude,Long (deg),Long (mins),Longitude,Altitude (metres),ISO 3166 Country Code,Year Valid From,Year Valid To
TUN,TUNTUNGAN,3,31,3.516666667,86.48333333,98,34,98.56666667,0,IDN
UJJ,UJJAIN,23,11,23.18333333,66.81666667,75,47,75.78333333,-999,IND
VAL,VALENTIA,51,56,51.93333333,38.06666667,349,45,349.75,14,IRL
VIC,VICTORIA,48,31,48.51666667,41.48333333,236,35,236.5833333,197,CAN
VLA,GORNOTAYOZHNAYA (VLADIVOSTOK),43,41,43.68333333,46.31666667,132,10,132.1666667,300,RUS
VOS,VOSTOK,-78,27,-78.45,168.45,106,52,106.8666667,3500,RUS
VSK,VISAKHAPATNAM,17,40,17.66666667,72.33333333,83,19,83.31666667,-999,IND
VSS,VASSOURAS,-22,24,-22.4,112.4,316,21,316.35,457,BRA
WHN,WUHAN,30,32,30.53333333,59.46666667,114,34,114.5666667,42,CHN
WIK,WIEN KOBENZL,48,16,48.26666667,41.73333333,16,19,16.31666667,400,AUT
WMQ,URUMQI (WULUMUCHI),43,49,43.81666667,46.18333333,87,42,87.7,970,CHN
WNG,WINGST,53,45,53.75,36.25,9,4,9.066666667,50,DEU
YAK,YAKUTSK,62,1,62.01666667,27.98333333,129,43,129.7166667,100,RUS
YKC,YELLOWKNIFE,62,29,62.48333333,27.51666667,245,31,245.5166667,198,CAN
YSS,YUZHNO-SAKHALINSK,46,57,46.95,43.05,142,43,142.7166667,70,RUS
